PMID,Title,Abstract,Authors,Keywords,Publication Year,Journal Title,Publication Type,Grants
30362880,"Is Space the New Frontier for Omics? Mars-Omics, Planetary Science, and the Next-Generation Technology Futurists.","Omics technologies are key to research and innovation in human health, food and nutrition, drugs, agriculture, and ecology research. Yet, the actual scope of applications is much broader. One emerging possibility is planetary science driven in part by current debates on and possibilities for travel to Mars. In July 2018, radar evidence has suggested the presence of subglacial liquid water in a 20-km-wide zone, likely a saltwater lake, in the Planum Australe region in the south pole of Mars. If confirmed, this will be a promising place to search for microbial life on the red planet. Meanwhile, existential threats to life on earth such as climate change are bolstering the current interests by spacefaring nations for manned long-term space travel to other planets. A new global space industry is also on the rise; Mars-related technology innovation could potentially allow for rapid Earth-to-Earth transport as well, for example, in times of humanitarian and ecological crisis. Against this overarching context, we coin and define here the new concept of ""Mars-omics"": the systems level study of how travel to and being on Mars affect human health, and how human presence on Mars impacts the life forms that might already be there, through changes such as space agriculture and other planetary transformations in Mars. Additionally, Mars-omics calls for new ways of thinking about scientific uncertainty and technology futures in such highly novel contexts. For example, how shall we frame scientific uncertainty when extrapolation of scientific unknowns across the planets is vastly difficult, nonlinear, and complex? Is uncertainty an accident or integral part of emerging technologies? These questions are important for achieving new relevance for and future progress in omics system science applications in planetary science and space explorations. In summary, this article suggests that omics has relevance in contexts beyond those on planet Earth. Moreover, past omics applications such as precision medicine may need to be reconceptualized in future novel settings, such as long-term space travel. We conclude the article with the key tenets of next-generation futurists in a context of Mars-omics. Space (still) is the final frontier for humans, medicine, engineering, and omics.",Bayram M; Aşar R; Özdemir V,Mars; Omics; planetary science; technology foresight,2018,Omics : a journal of integrative biology,Journal Article,
37524737,Paving the way to better understand the effects of prolonged spaceflight on operational performance and its neural bases.,"Space exploration objectives will soon move from low Earth orbit to distant destinations like Moon and Mars. The present work provides an up-to-date roadmap that identifies critical research gaps related to human behavior and performance in altered gravity and space. The roadmap summarizes (1) key neurobehavioral challenges associated with spaceflight, (2) the need to consider sex as a biological variable, (3) the use of integrative omics technologies to elucidate mechanisms underlying changes in the brain and behavior, and (4) the importance of understanding the neural representation of gravity throughout the brain and its multisensory processing. We then highlight the need for a variety of target-specific countermeasures, and a personalized administration schedule as two critical strategies for mitigating potentially adverse effects of spaceflight on the central nervous system and performance. We conclude with a summary of key priorities for the roadmaps of current and future space programs and stress the importance of new collaborative strategies across agencies and researchers for fostering an integrative cross- and transdisciplinary approach from cells, molecules to neural circuits and cognitive performance. Finally, we highlight that space research in neurocognitive science goes beyond monitoring and mitigating risks in astronauts but could also have significant benefits for the population on Earth.",Stahn AC; Bucher D; Zu Eulenburg P; Denise P; Smith N; Pagnini F; White O,,2023,NPJ microgravity,Journal Article; Review,
33347069,"Twins, Telomeres, and Aging-in Space!","BACKGROUND: The landmark National Aeronautics and Space Administration Twins Study represented an integrated effort to launch human space life science research into the modern age of molecular- and ""omics""-based studies. As part of the first One-Year Mission aboard the International Space Station, identical twin astronauts Scott and Mark Kelly were the subjects of this ""out of this world"" research opportunity. Telomeres, the natural ends of chromosomes that shorten with cell division and a host of lifestyle factors and stresses, are key molecular determinants of aging and aging trajectories. METHODS: We proposed that telomere length dynamics (changes over time) represent a particularly relevant and integrative biomarker for astronauts, as they reflect the combined experiences and environmental exposures encountered during spaceflight. Telomere length (quantitative polymerase chain reaction and telomere fluorescence in situ hybridization) and telomerase activity (quantitative polymerase chain reaction -telomere repeat amplification protocol) were longitudinally assessed in the space- and earth-bound twins. Chromosome aberrations (directional genomic hybridization), signatures of radiation exposure, were also evaluated. RESULTS: The twins had relatively similar telomere lengths before spaceflight, and the earth-bound twins' telomeres remained relatively stable over the course of the study. Surprisingly, the space twins' telomeres were longer during spaceflight, and upon return to Earth shortened rapidly, resulting in many more short telomeres after spaceflight than before. Chromosomal signatures of space radiation exposure were also elevated during spaceflight, and increased inversion frequencies persisted after spaceflight, suggestive of ongoing genome instability. CONCLUSION: Although the definitive mechanisms underlying such dramatic spaceflight-associated shifts in telomere length remain unclear, improved maintenance of telomere length has important implications for aging science and improving healthspan for those on Earth, as well.",Luxton JJ; Bailey SM,,2021,Plastic and reconstructive surgery,Journal Article,
35856037,Recent transcriptomic studies to elucidate the plant adaptive response to spaceflight and to simulated space environments.,"Discovering the adaptation mechanisms of plants to the space environment is essential for supporting human space exploration. Transcriptomic analyses allow the identification of adaptation response pathways by detecting changes in gene expression at the global genome level caused by the main factors of the space environment, namely altered gravity and cosmic radiation. This article reviews transcriptomic studies carried out from plants grown in spaceflights and in different ground-based microgravity simulators. Despite differences in plant growth conditions, these studies have shown that cell wall remodeling, oxidative stress, defense response, and photosynthesis are common altered processes in plants grown under spaceflight conditions. European scientists have significantly contributed to the acquisition of this knowledge, e.g., by showing the role of red light in the adaptation response of plants (EMCS experiments) and the mechanisms of cellular response and adaptation mostly affecting cell cycle regulation, using cell cultures in microgravity simulators.",Manzano A; Carnero-Diaz E; Herranz R; Medina FJ,Microgravity sciences; Omics; Plant biology; Space sciences,2022,iScience,Journal Article; Review,
37012297,Skeletal muscle gene expression dysregulation in long-term spaceflights and aging is clock-dependent.,"The circadian clock regulates cellular and molecular processes in mammals across all tissues including skeletal muscle, one of the largest organs in the human body. Dysregulated circadian rhythms are characteristic of aging and crewed spaceflight, associated with, for example, musculoskeletal atrophy. Molecular insights into spaceflight-related alterations of circadian regulation in skeletal muscle are still missing. Here, we investigated potential functional consequences of clock disruptions on skeletal muscle using published omics datasets obtained from spaceflights and other clock-altering, external (fasting and exercise), or internal (aging) conditions on Earth. Our analysis identified alterations of the clock network and skeletal muscle-associated pathways, as a result of spaceflight duration in mice, which resembles aging-related gene expression changes observed in humans on Earth (e.g., ATF4 downregulation, associated with muscle atrophy). Furthermore, according to our results, external factors such as exercise or fasting lead to molecular changes in the core-clock network, which may compensate for the circadian disruption observed during spaceflights. Thus, maintaining circadian functioning is crucial to ameliorate unphysiological alterations and musculoskeletal atrophy reported among astronauts.",Malhan D; Yalçin M; Schoenrock B; Blottner D; Relógio A,,2023,NPJ microgravity,Journal Article,
38092777,Explainable machine learning identifies multi-omics signatures of muscle response to spaceflight in mice.,"The adverse effects of microgravity exposure on mammalian physiology during spaceflight necessitate a deep understanding of the underlying mechanisms to develop effective countermeasures. One such concern is muscle atrophy, which is partly attributed to the dysregulation of calcium levels due to abnormalities in SERCA pump functioning. To identify potential biomarkers for this condition, multi-omics data and physiological data available on the NASA Open Science Data Repository (osdr.nasa.gov) were used, and machine learning methods were employed. Specifically, we used multi-omics (transcriptomic, proteomic, and DNA methylation) data and calcium reuptake data collected from C57BL/6 J mouse soleus and tibialis anterior tissues during several 30+ day-long missions on the international space station. The QLattice symbolic regression algorithm was introduced to generate highly explainable models that predict either experimental conditions or calcium reuptake levels based on multi-omics features. The list of candidate models established by QLattice was used to identify key features contributing to the predictive capability of these models, with Acyp1 and Rps7 proteins found to be the most predictive biomarkers related to the resilience of the tibialis anterior muscle in space. These findings could serve as targets for future interventions aiming to reduce the extent of muscle atrophy during space travel. US; foreign copyright protection may apply.",Li K; Desai R; Scott RT; Steele JR; Machado M; Demharter S; Hoarfrost A; Braun JL; Fajardo VA; Sanders LM; Costes SV,,2023,NPJ microgravity,Journal Article,
31886035,"Translating current biomedical therapies for long duration, deep space missions.","It is been shown that spaceflight-induced molecular, cellular, and physiologic changes cause alterations across many modalities of the human body, including cardiovascular, musculoskeletal, hematological, immunological, ocular, and neurological systems. The Twin Study, a multi-year, multi-omic study of human response to spaceflight, provided detailed and comprehensive molecular and cellular maps of the human response to radiation, microgravity, isolation, and stress. These rich data identified epigenetic, gene expression, inflammatory, and metabolic responses to spaceflight, facilitating a better biomedical roadmap of features that should be monitored and safe-guarded in upcoming missions. Further, by exploring new developments in pre-clinical models and clinical trials, we can begin to design potential cellular interventions for exploration-class missions to Mars and potentially farther. This paper will discuss the overall risks astronauts face during spaceflight, what is currently known about human response to these risks, what pharmaceutical interventions exist for use in space, and which tools of precision medicine and cellular engineering could be applied to aerospace and astronaut medicine. China School of Medicine & West China Hospital of Sichuan University.",Iosim S; MacKay M; Westover C; Mason CE,International Space Station; NASA; NASA Twin Study; multi-scale omics; spaceflight,2019,Precision clinical medicine,Journal Article; Review,R01 MH117406/MH/NIMH NIH HHS/United States; R01 AI125416/AI/NIAID NIH HHS/United States; R01 ES021006/ES/NIEHS NIH HHS/United States; R25 EB020393/EB/NIBIB NIH HHS/United States; R21 AI129851/AI/NIAID NIH HHS/United States; P01 HD067244/HD/NICHD NIH HHS/United States; R01 NS076465/NS/NINDS NIH HHS/United States
34502375,Mammalian and Invertebrate Models as Complementary Tools for Gaining Mechanistic Insight on Muscle Responses to Spaceflight.,"Bioinformatics approaches have proven useful in understanding biological responses to spaceflight. Spaceflight experiments remain resource intensive and rare. One outstanding issue is how to maximize scientific output from a limited number of omics datasets from traditional animal models including nematodes, fruitfly, and rodents. The utility of omics data from invertebrate models in anticipating mammalian responses to spaceflight has not been fully explored. Hence, we performed comparative analyses of transcriptomes of soleus and extensor digitorum longus (EDL) in mice that underwent 37 days of spaceflight. Results indicate shared stress responses and altered circadian rhythm. EDL showed more robust growth signals and Pde2a downregulation, possibly underlying its resistance to atrophy versus soleus. Spaceflight and hindlimb unloading mice shared differential regulation of proliferation, circadian, and neuronal signaling. Shared gene regulation in muscles of humans on bedrest and space flown rodents suggest targets for mitigating muscle atrophy in space and on Earth. Spaceflight responses of C. elegans were more similar to EDL. Discrete life stages of D. melanogaster have distinct utility in anticipating EDL and soleus responses. In summary, spaceflight leads to shared and discrete molecular responses between muscle types and invertebrate models may augment mechanistic knowledge gained from rodent spaceflight and ground-based studies.",Cahill T; Cope H; Bass JJ; Overbey EG; Gilbert R; da Silveira WA; Paul AM; Mishra T; Herranz R; Reinsch SS; Costes SV; Hardiman G; Szewczyk NJ; Tahimic CGT,animal models; bedrest; cross-species comparison; hindlimb unloading; microgravity; muscle; spaceflight; transcriptomics,2021,International journal of molecular sciences,Journal Article,
36267920,Muscle atrophy phenotype gene expression during spaceflight is linked to a metabolic crosstalk in both the liver and the muscle in mice.,"Human expansion in space is hampered by the physiological risks of spaceflight. The muscle and the liver are among the most affected tissues during spaceflight and their relationships in response to space exposure have never been studied. We compared the transcriptome response of liver and quadriceps from mice on NASA RR1 mission, after 37 days of exposure to spaceflight using GSEA, ORA, and sparse partial least square-differential analysis. We found that lipid metabolism is the most affected biological process between the two organs. A specific gene cluster expression pattern in the liver strongly correlated with glucose sparing and an energy-saving response affecting high energy demand process gene expression such as DNA repair, autophagy, and translation in the muscle. Our results show that impaired lipid metabolism gene expression in the liver and muscle atrophy gene expression are two paired events during spaceflight, for which dietary changes represent a possible countermeasure.",Vitry G; Finch R; Mcstay G; Behesti A; Déjean S; Larose T; Wotring V; da Silveira WA,Astronautics; Omics; Space medicine; Space sciences,2022,iScience,Journal Article,
38581556,Telomeres and aging: on and off the planet!,"Improving human healthspan in our rapidly aging population has never been more imperative. Telomeres, protective ""caps"" at the ends of linear chromosomes, are essential for maintaining genome stability of eukaryotic genomes. Due to their physical location and the ""end-replication problem"" first envisioned by Dr. Alexey Olovnikov, telomeres shorten with cell division, the implications of which are remarkably profound. Telomeres are hallmarks and molecular drivers of aging, as well as fundamental integrating components of the cumulative effects of genetic, lifestyle, and environmental factors that erode telomere length over time. Ongoing telomere attrition and the resulting limit to replicative potential imposed by cellular senescence serves a powerful tumor suppressor function, and also underlies aging and a spectrum of age-related degenerative pathologies, including reduced fertility, dementias, cardiovascular disease and cancer. However, very little data exists regarding the extraordinary stressors and exposures associated with long-duration space exploration and eventual habitation of other planets, nor how such missions will influence telomeres, reproduction, health, disease risk, and aging. Here, we briefly review our current understanding, which has advanced significantly in recent years as a result of the NASA Twins Study, the most comprehensive evaluation of human health effects associated with spaceflight ever conducted. Thus, the Twins Study is at the forefront of personalized space medicine approaches for astronauts and sets the stage for subsequent missions. We also extrapolate from current understanding to future missions, highlighting potential biological and biochemical strategies that may enable human survival, and consider the prospect of longevity in the extreme environment of space.",Mason CE; Sierra MA; Feng HJ; Bailey SM,Aging; Mitochondrial dysregulation; Omics; Oxidative stress; Radiation; Space; Telomeres,2024,Biogerontology,Journal Article; Review,
37887314,Spaceflight Induces Strength Decline in Caenorhabditis elegans.,"Background: Understanding and countering the well-established negative health consequences of spaceflight remains a primary challenge preventing safe deep space exploration. Targeted/personalized therapeutics are at the forefront of space medicine strategies, and cross-species molecular signatures now define the 'typical' spaceflight response. However, a lack of direct genotype-phenotype associations currently limits the robustness and, therefore, the therapeutic utility of putative mechanisms underpinning pathological changes in flight. Methods: We employed the worm Caenorhabditis elegans as a validated model of space biology, combined with 'NemaFlex-S' microfluidic devices for assessing animal strength production as one of the most reproducible physiological responses to spaceflight. Wild-type and dys-1 (BZ33) strains (a Duchenne muscular dystrophy (DMD) model for comparing predisposed muscle weak animals) were cultured on the International Space Station in chemically defined media before loading second-generation gravid adults into NemaFlex-S devices to assess individual animal strength. These same cultures were then frozen on orbit before returning to Earth for next-generation sequencing transcriptomic analysis. Results: Neuromuscular strength was lower in flight versus ground controls (16.6% decline, p < 0.05), with dys-1 significantly more (23% less strength, p < 0.01) affected than wild types. The transcriptional gene ontology signatures characterizing both strains of weaker animals in flight strongly corroborate previous results across species, enriched for upregulated stress response pathways and downregulated mitochondrial and cytoskeletal processes. Functional gene cluster analysis extended this to implicate decreased neuronal function, including abnormal calcium handling and acetylcholine signaling, in space-induced strength declines under the predicted control of UNC-89 and DAF-19 transcription factors. Finally, gene modules specifically altered in dys-1 animals in flight again cluster to neuronal/neuromuscular pathways, suggesting strength loss in DMD comprises a strong neuronal component that predisposes these animals to exacerbated strength loss in space. Conclusions: Highly reproducible gene signatures are strongly associated with space-induced neuromuscular strength loss across species and neuronal changes in calcium/acetylcholine signaling require further study. These results promote targeted medical efforts towards and provide an in vivo model for safely sending animals and people into deep space in the near future.",Soni P; Edwards H; Anupom T; Rahman M; Lesanpezeshki L; Blawzdziewicz J; Cope H; Gharahdaghi N; Scott D; Toh LS; Williams PM; Etheridge T; Szewczyk N; Willis CRG; Vanapalli SA,C. elegans; International Space Station; astropharmacy; dystrophin; gene expression; microgravity; muscle atrophy; muscle strength; omics; spaceflight,2023,Cells,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.","P40 OD010440/OD/NIH HHS/United States; NNX15AL16GG, NNJ15GK01C, NSSC22K0250, NSSC22K0278/NASA/NASA/United States; BB/N015894/1/BB_/Biotechnology and Biological Sciences Research Council/United"
